'y-axis saved as y
'x,18c6-kcl-ngb-50C-1h.xy,Ycalc,Diff,mono,KCl,anhidro
5.00336,56,64.4436514,-8.44365141,0,0,0
5.00607,69,64.297825,4.702175,0,0,0
5.00879,64,64.1541818,-0.154181798,0,0,0
5.01151,64,64.0132368,-0.0132368119,0,0,0
5.01422,75,63.8754656,11.1245344,0,0,0
5.01694,67,63.7398238,3.26017617,0,0,0
5.01966,54,63.6067972,-9.60679721,0,0,0
5.02237,46,63.4768333,-17.4768333,0,0,0
5.02509,65,63.348946,1.65105404,0,0,0
5.02781,62,63.2235926,-1.2235926,0,0,0
5.03052,63,63.1011936,-0.101193631,0,0,0
5.03324,65,62.9808193,2.01918067,0,0,0
5.03596,62,62.8628997,-0.862899679,0,0,0
5.03867,46,62.7478288,-16.7478288,0,0,0
5.04139,63,62.6347316,0.365268399,0,0,0
5.04411,52,62.5240115,-10.5240115,0,0,0
5.04682,66,62.4160372,3.58396277,0,0,0
5.04954,58,62.3099866,-4.30998662,0,0,0
5.05226,71,62.2062374,8.79376264,0,0,0
5.05497,64,62.1051335,1.89486654,0,0,0
5.05769,73,62.0059042,10.9940958,0,0,0
5.06041,66,61.9089022,4.09109782,0,0,0
5.06312,49,61.8144477,-12.8144477,0,0,0
5.06584,63,61.7218196,1.27818037,0,0,0
5.06856,62,61.6313466,0.368653447,0,0,0
5.07127,69,61.5433256,7.45667436,0,0,0
5.07399,52,61.4570838,-9.45708379,0,0,0
5.07671,64,61.3729263,2.62707369,0,0,0
5.07942,66,61.2911281,4.70887192,0,0,0
5.08214,59,61.2110625,-2.21106247,0,0,0
5.08486,54,61.1330123,-7.13301225,0,0,0
5.08757,81,61.0572308,19.9427692,0,0,0
5.09029,70,60.9831363,9.01686367,0,0,0
5.09301,61,60.9109899,0.089010084,0,0,0
5.09572,46,60.8410241,-14.8410241,0,0,0
5.09844,60,60.7727005,-0.772700548,0,0,0
5.10116,61,60.7062593,0.293740719,0,0,0
5.10387,60,60.6419127,-0.641912713,0,0,0
5.10659,61,60.5791646,0.420835405,0,0,0
5.10931,68,60.5182345,7.48176548,0,0,0
5.11202,52,60.4593155,-8.45931553,0,0,0
5.11474,51,60.401952,-9.40195195,0,0,0
5.11746,56,60.3463437,-4.34634373,0,0,0
5.12017,77,60.2926652,16.7073348,0,0,0
5.12289,66,60.2404999,5.75950014,0,0,0
5.12561,54,60.1900287,-6.19002871,0,0,0
5.12832,56,60.141408,-4.14140801,0,0,0
5.13104,54,60.0942591,-6.09425908,0,0,0
5.13376,60,60.0487446,-0.0487446403,0,0,0
5.13647,58,60.0050036,-2.00500355,0,0,0
5.13919,60,59.9626936,0.0373063823,0,0,0
5.14191,66,59.9219599,6.07804008,0,0,0
5.14462,71,59.8829246,11.1170754,0,0,0
5.14734,73,59.8452805,13.1547195,0,0,0
5.15006,77,59.8091559,17.1908441,0,0,0
5.15277,73,59.7746566,13.2253434,0,0,0
5.15549,49,59.7415096,-10.7415096,0,0,0
5.15821,53,59.7098265,-6.70982652,0,0,0
5.16092,56,59.6796978,-3.67969781,0,0,0
5.16364,55,59.6508831,-4.6508831,0,0,0
5.16635,68,59.6235765,8.37642349,0,0,0
5.16907,60,59.5975588,0.402441171,0,0,0
5.17179,57,59.5729158,-2.5729158,0,0,0
5.1745,57,59.5497131,-2.54971313,0,0,0
5.17722,64,59.5277623,4.47223766,0,0,0
5.17994,71,59.5071344,11.4928656,0,0,0
5.18265,58,59.4878809,-1.48788088,0,0,0
5.18537,54,59.469843,-5.46984298,0,0,0
5.18809,64,59.4530774,4.54692263,0,0,0
5.1908,64,59.4376222,4.56237778,0,0,0
5.19352,63,59.4233471,3.57665292,0,0,0
5.19624,63,59.410295,3.58970501,0,0,0
5.19895,55,59.3984911,-4.39849115,0,0,0
5.20167,70,59.3878325,10.6121675,0,0,0
5.20439,68,59.3783488,8.62165117,0,0,0
5.2071,53,59.370053,-6.370053,0,0,0
5.20982,64,59.3628682,4.63713181,0,0,0
